url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at,num_ampersand,num_percent,num_digits,domain_length,subdomain_length,tld_length,subdomain_count,path_depth,num_params,has_ip,has_port,is_https,entropy,suspicious_word_count,brand_in_subdomain,brand_in_path,suspicious_tld,is_shortened,special_char_ratio,label
42,33,1,0,2,0,0,3,0,0,0,0,0,0,11,17,3,1,0,0,0,0,1,4.050304851907325,0,0,0,0,0,0.14285714285714285,1
190,15,108,58,3,1,1,7,1,4,0,3,0,17,6,4,3,1,5,4,0,0,1,5.475259060350477,0,0,0,0,0,0.12631578947368421,1
22,6,8,0,1,0,0,3,0,0,0,0,0,2,3,0,2,0,1,0,0,0,1,3.936260027531526,0,0,0,0,0,0.22727272727272727,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,9,0,5,0,0,0,0,0,1,3.8820451081368628,0,0,0,0,0,0.21739130434782608,1
175,15,108,43,2,2,1,7,1,3,0,2,0,21,6,4,3,1,5,3,0,0,1,5.553809435658886,0,0,0,0,0,0.12,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.25,0,0,0,0,0,0.25,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,5,4,3,1,0,0,0,0,1,3.6978458230844122,0,0,0,0,0,0.22727272727272727,0
36,14,15,0,3,0,0,4,0,0,0,0,0,6,3,7,2,1,2,0,0,0,0,4.037844793048881,0,0,0,0,0,0.2222222222222222,1
39,8,8,14,2,0,0,3,1,1,0,1,0,6,1,3,2,1,1,2,0,0,1,4.333622334791382,0,0,0,0,0,0.2564102564102564,1
62,27,27,0,3,0,0,3,0,0,0,0,3,5,11,11,3,1,1,0,0,0,1,4.558303770967773,0,0,0,0,0,0.16129032258064516,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3.7841837197791888,0,0,0,0,0,0.2,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,6,5,3,1,0,0,0,0,1,3.751629167387823,0,0,0,0,0,0.20833333333333334,0
32,23,1,0,2,0,0,3,0,0,0,0,0,0,6,12,3,1,0,0,0,0,1,4.155639062229566,0,0,0,0,0,0.1875,1
175,15,108,43,2,1,0,7,1,3,0,2,0,16,6,4,3,1,5,3,0,0,1,5.605126292752294,0,0,0,0,0,0.10857142857142857,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3.3232314287976203,0,0,0,0,0,0.26666666666666666,0
24,16,0,0,2,0,0,2,0,0,0,0,0,0,6,5,3,1,0,0,0,0,1,3.7720552088742005,0,0,0,0,0,0.20833333333333334,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6753108689123644,0,0,0,0,0,0.21739130434782608,0
167,15,108,35,2,2,0,7,1,3,0,2,0,18,6,4,3,1,5,3,0,0,1,5.61651892847814,0,0,0,0,0,0.10778443113772455,1
23,4,11,0,1,0,0,3,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,3.9361804341297555,0,0,0,0,0,0.21739130434782608,1
32,14,10,0,1,0,0,3,0,0,0,0,0,0,10,0,3,0,1,0,0,0,1,4.132048827786958,0,0,0,0,0,0.15625,1
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.19047619047619047,0
18,10,0,0,2,0,0,2,0,0,0,0,0,1,2,3,3,1,0,0,0,0,1,3.3921472236645345,0,0,0,0,0,0.2777777777777778,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.25,0,0,0,0,0,0.25,0
175,15,108,43,2,2,0,7,1,3,0,2,0,13,6,4,3,1,5,3,0,0,1,5.527249410605961,0,0,0,0,0,0.11428571428571428,1
24,16,0,0,2,0,0,2,0,0,0,0,0,0,8,3,3,1,0,0,0,0,1,3.7720552088742005,0,0,0,0,0,0.20833333333333334,0
40,31,1,0,2,2,0,3,0,0,0,0,0,0,11,15,3,1,0,0,0,0,1,4.037326145256007,0,0,0,0,0,0.2,1
21,6,7,0,1,1,0,3,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,3.939470994001286,0,0,0,0,0,0.2857142857142857,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.7622673906514943,0,0,0,0,0,0.21739130434782608,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.7849418274376423,0,0,0,0,0,0.19047619047619047,0
22,7,7,0,1,0,0,3,0,0,0,0,0,1,4,0,2,0,1,0,0,0,1,4.152391277629865,0,0,0,0,0,0.22727272727272727,1
25,17,0,0,2,0,0,2,0,0,0,0,0,0,9,3,3,1,0,0,0,0,1,3.5434651896016467,0,0,0,0,0,0.2,0
22,7,7,0,1,0,0,3,0,0,0,0,0,0,4,0,2,0,1,0,0,0,1,4.061482186720775,0,0,0,0,0,0.22727272727272727,1
51,21,22,0,3,0,0,4,0,0,0,0,0,1,5,11,3,2,2,0,0,0,1,4.539593233916256,0,0,0,0,0,0.1568627450980392,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.327819531114783,0,0,0,0,0,0.25,0
24,17,0,0,1,0,0,2,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,3.9387218755408675,0,0,0,0,0,0.16666666666666666,1
20,12,0,0,2,0,0,2,0,0,0,0,0,0,4,3,3,1,0,0,0,0,1,3.6841837197791887,0,0,0,0,0,0.25,0
47,16,23,0,2,0,0,5,0,0,0,0,0,0,6,5,3,1,3,0,0,0,1,3.954728226147622,0,0,0,0,0,0.1702127659574468,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.616348566075164,0,0,0,0,0,0.21052631578947367,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.8365916681089787,0,0,0,0,0,0.2222222222222222,0
175,15,108,43,2,2,1,7,1,3,0,2,0,21,6,4,3,1,5,3,0,0,1,5.595929290493648,0,0,0,0,0,0.12,1
26,17,1,0,2,0,0,3,0,0,0,0,0,0,6,6,3,1,0,0,0,0,1,3.9790978911348045,0,0,0,0,0,0.23076923076923078,1
23,15,0,0,1,0,0,2,0,0,0,0,0,0,11,0,3,0,0,0,0,0,1,3.7950885863977324,0,0,0,0,0,0.17391304347826086,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.577819531114783,0,0,0,0,0,0.25,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.879664004902593,0,0,0,0,0,0.22727272727272727,0
31,23,0,0,2,0,0,2,0,0,0,0,0,0,8,10,3,1,0,0,0,0,1,4.050970503935262,0,0,0,0,0,0.16129032258064516,0
20,12,0,0,2,0,0,2,0,0,0,0,0,0,4,3,3,1,0,0,0,0,1,3.5219280948873624,0,0,0,0,0,0.25,0
175,15,108,43,2,1,0,7,1,3,0,2,0,23,6,4,3,1,5,3,0,0,1,5.659005327078307,0,0,0,0,0,0.10857142857142857,1
330,11,10,301,8,0,0,3,1,2,0,1,34,74,7,0,3,0,1,2,0,0,0,5.239020235922181,0,0,0,0,0,0.1606060606060606,1
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.748994803525096,0,0,0,0,0,0.23809523809523808,0
36,27,1,0,2,1,0,3,0,0,0,0,0,0,11,11,3,1,0,0,0,0,1,4.141604167868593,0,0,0,0,0,0.19444444444444445,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.5013978254341036,0,0,0,0,0,0.21739130434782608,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,3.6168746059562227,0,0,0,0,0,0.23529411764705882,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.75,0,0,0,0,0,0.25,0
23,8,7,0,2,0,0,3,0,0,0,0,0,2,3,1,2,1,1,0,0,0,1,4.0559581516151235,0,0,0,0,0,0.2608695652173913,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.577819531114783,0,0,0,0,0,0.25,0
23,8,7,0,2,0,0,3,0,0,0,0,0,1,3,1,2,1,1,0,0,0,1,4.0559581516151235,0,0,0,0,0,0.2608695652173913,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.5,0,0,0,0,0,0.25,0
27,19,0,0,2,0,0,2,0,0,0,0,0,0,9,5,3,1,0,0,0,0,1,3.8380398168981555,1,0,0,0,0,0.18518518518518517,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.5585186130489057,0,0,0,0,0,0.23809523809523808,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3.6841837197791887,0,0,0,0,0,0.2,0
55,11,22,0,1,0,0,5,0,0,0,0,0,16,6,0,4,0,3,0,0,0,1,4.713558696193738,0,0,0,0,0,0.14545454545454545,1
24,16,0,0,2,0,0,2,0,0,0,0,0,0,8,3,3,1,0,0,0,0,1,3.7720552088742005,0,0,0,0,0,0.20833333333333334,0
20,12,0,0,2,0,0,2,0,0,0,0,0,0,4,3,3,1,0,0,0,0,1,3.4464393446710146,0,0,0,0,0,0.25,0
42,33,1,0,2,0,0,3,0,0,0,0,0,19,3,25,3,1,0,0,0,0,1,4.379714446279218,0,0,0,0,0,0.14285714285714285,1
113,15,76,13,2,1,2,7,1,1,0,0,0,9,6,4,3,1,5,1,0,0,1,5.302851999342382,0,0,0,0,0,0.13274336283185842,1
50,12,30,0,4,1,0,6,0,0,0,0,0,9,12,0,0,0,4,0,1,0,1,4.218171939471838,1,0,0,0,0,0.24,1
48,16,24,0,2,0,0,5,0,0,0,0,0,7,6,5,3,1,3,0,0,0,1,4.316340563438217,0,0,0,0,0,0.16666666666666666,1
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.40582225028569,0,0,0,0,0,0.2631578947368421,0
37,28,1,0,2,0,0,3,0,0,0,0,0,0,11,12,3,1,0,0,0,0,1,4.2160780277326415,0,0,0,0,0,0.16216216216216217,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,5,5,3,1,0,0,0,0,1,3.8820451081368628,0,0,0,0,0,0.21739130434782608,0
62,43,11,0,3,1,0,3,0,0,0,0,0,22,2,36,3,1,1,0,0,0,1,4.71236214168218,0,0,0,0,0,0.12903225806451613,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.614369445886757,0,0,0,0,0,0.2222222222222222,0
30,15,7,0,1,1,0,3,0,0,0,0,0,0,11,0,3,0,1,0,0,0,1,3.8729055953200557,0,0,0,0,0,0.2,1
33,24,1,0,2,1,0,3,0,0,0,0,0,0,11,8,3,1,0,0,0,0,1,4.12728313431329,0,0,0,0,0,0.21212121212121213,1
35,26,1,0,2,0,0,3,0,0,0,0,0,0,8,13,3,1,0,0,0,0,1,4.014438730983426,0,0,0,0,0,0.17142857142857143,1
24,16,0,0,1,0,0,2,0,0,0,0,0,0,12,0,3,0,0,0,0,0,1,3.636842188131012,0,0,0,0,0,0.16666666666666666,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.327819531114783,0,0,0,0,0,0.25,0
17,9,0,0,1,0,0,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,3.6168746059562227,0,0,0,0,0,0.23529411764705882,0
44,35,1,0,2,2,0,3,0,0,0,0,0,6,6,24,3,1,0,0,0,0,1,4.2744551302868965,0,0,0,0,0,0.18181818181818182,1
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.6897037321995474,0,0,0,0,0,0.23809523809523808,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.4316235658474303,0,0,0,0,0,0.2631578947368421,0
25,17,0,0,2,0,0,2,0,0,0,0,0,0,8,4,3,1,0,0,0,0,1,3.973660689688185,0,0,0,0,0,0.2,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.787143960698138,0,0,0,0,0,0.21052631578947367,0
22,7,7,0,1,0,0,3,0,0,0,0,0,1,4,0,2,0,1,0,0,0,1,4.152391277629865,0,0,0,0,0,0.22727272727272727,1
51,21,22,0,3,0,0,4,0,0,0,0,0,2,5,11,3,2,2,0,0,0,1,4.561228587793908,0,0,0,0,0,0.1568627450980392,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3.640223928941851,0,0,0,0,0,0.26666666666666666,0
29,20,1,0,1,0,0,3,0,0,0,0,0,0,16,0,3,0,0,0,0,0,1,3.7454064259382482,0,0,0,0,0,0.1724137931034483,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.8924071185928746,0,0,0,0,0,0.21052631578947367,0
37,28,1,0,2,1,0,3,0,0,0,0,0,4,5,17,4,1,0,0,0,0,1,4.077715447225512,0,0,0,0,0,0.1891891891891892,1
21,6,7,0,1,1,0,3,0,0,0,0,0,1,3,0,2,0,1,0,0,0,1,3.939470994001286,0,0,0,0,0,0.2857142857142857,1
23,8,7,0,2,0,0,3,0,0,0,0,0,0,3,1,2,1,1,0,0,0,1,4.0559581516151235,0,0,0,0,0,0.2608695652173913,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.7622673906514943,0,0,0,0,0,0.21739130434782608,0
25,6,11,0,1,0,0,3,0,0,0,0,0,1,3,0,2,0,1,0,0,0,1,3.6732696895151076,0,0,0,0,0,0.2,1
41,32,1,0,2,0,0,3,0,0,0,0,0,0,11,16,3,1,0,0,0,0,1,4.137086150537407,0,0,0,0,0,0.14634146341463414,1
40,21,11,0,2,2,0,4,0,0,0,0,0,0,5,12,2,1,1,0,0,0,1,3.9816870830264417,0,0,0,0,0,0.225,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.5,0,0,0,0,0,0.25,0
39,15,16,0,2,0,0,3,0,0,0,0,0,15,7,3,3,1,1,0,0,0,1,4.31682689807206,0,0,0,0,0,0.15384615384615385,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6211755429194716,0,0,0,0,0,0.21739130434782608,0
26,18,0,0,2,0,0,2,0,0,0,0,0,0,10,3,3,1,0,0,0,0,1,3.796217602590056,0,0,0,0,0,0.19230769230769232,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,4.021928094887362,0,0,0,0,0,0.2,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.19047619047619047,0
23,8,7,0,2,0,0,3,0,0,0,0,0,1,3,1,2,1,1,0,0,0,1,4.0559581516151235,0,0,0,0,0,0.2608695652173913,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,3.884183719779189,0,0,0,0,0,0.2,0
28,19,1,0,2,0,0,3,0,0,0,0,0,0,3,11,3,1,0,0,0,0,1,3.869331261111519,0,0,0,0,0,0.21428571428571427,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3.5068905956085183,0,0,0,0,0,0.26666666666666666,0
27,19,0,0,2,0,0,2,0,0,0,0,0,0,9,5,3,1,0,0,0,0,1,3.810081020521731,0,0,0,0,0,0.18518518518518517,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.7887549139935026,0,0,0,0,0,0.22727272727272727,0
108,15,48,36,3,1,0,6,1,2,0,1,0,14,7,3,3,1,4,2,0,0,1,5.29204086402104,0,0,0,0,0,0.1388888888888889,1
28,19,1,0,2,0,0,3,0,0,0,0,0,0,6,8,3,1,0,0,0,0,1,3.8962915290459277,0,0,0,0,0,0.21428571428571427,1
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.7622673906514947,0,0,0,0,0,0.21739130434782608,0
54,17,29,0,2,0,1,3,0,0,0,0,0,3,7,5,3,1,1,0,0,0,1,4.763965742824081,0,0,0,0,0,0.12962962962962962,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.7254805569978675,0,0,0,0,0,0.2222222222222222,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.594465636961452,0,0,0,0,0,0.23809523809523808,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.21052631578947367,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.2631578947368421,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.663532754804254,0,0,0,0,0,0.22727272727272727,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.155221528859512,0,0,0,0,0,0.2222222222222222,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.689703732199547,0,0,0,0,0,0.23809523809523808,0
21,6,7,0,1,1,0,3,0,0,0,0,0,2,3,0,2,0,1,0,0,0,1,3.8442328987631913,0,0,0,0,0,0.2857142857142857,1
76,25,1,41,2,1,0,3,1,2,0,1,0,23,16,4,3,1,0,2,0,0,1,4.867745237264889,0,0,0,0,0,0.14473684210526316,1
112,35,23,45,5,2,9,3,1,3,0,2,0,4,9,20,4,1,1,3,0,0,1,4.624836964484992,0,0,1,0,0,0.25,1
27,18,1,0,2,0,0,3,0,0,0,0,0,0,6,7,3,1,0,0,0,0,1,3.9302703722934544,0,0,0,0,0,0.2222222222222222,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,3.7254805569978675,0,0,0,0,0,0.2222222222222222,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,1,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.2631578947368421,0
76,35,26,6,2,1,0,5,1,1,0,0,0,5,6,20,7,1,3,1,0,0,1,4.887610697848137,0,0,0,0,0,0.14473684210526316,1
57,20,29,0,3,1,0,6,0,0,0,0,0,0,8,8,2,1,4,0,0,0,1,4.0846664967657125,1,0,0,0,0,0.19298245614035087,1
40,31,1,0,2,1,0,3,0,0,0,0,0,1,11,15,3,1,0,0,0,0,1,4.225070520364182,0,0,0,0,0,0.175,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,3.6818808028034016,0,0,0,0,0,0.21052631578947367,0
175,15,108,43,2,4,0,7,1,3,0,2,0,13,6,4,3,1,5,3,0,0,1,5.534472790481283,0,0,0,0,0,0.12571428571428572,1
22,6,8,0,1,0,0,3,0,0,0,0,0,3,3,0,2,0,1,0,0,0,1,4.027169118440616,0,0,0,0,0,0.22727272727272727,1
26,18,0,0,2,0,0,2,0,0,0,0,0,0,6,7,3,1,0,0,0,0,1,3.661226256269789,1,0,0,0,0,0.19230769230769232,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,3.4039894464852614,0,0,0,0,0,0.19047619047619047,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,3.6424896731661263,0,0,0,0,0,0.21739130434782608,0
27,18,1,0,2,0,0,3,0,0,0,0,0,0,3,10,3,1,0,0,0,0,1,3.7639657428240816,0,0,0,0,0,0.2222222222222222,1
37,28,1,0,2,1,0,3,0,0,0,0,0,7,11,12,3,1,0,0,0,0,1,4.3374354600481295,0,0,0,0,0,0.1891891891891892,1
16,8,0,0,1,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,3.375,0,0,0,0,0,0.25,0
38,29,1,0,2,2,0,3,0,0,0,0,0,0,6,18,3,1,0,0,0,0,1,4.023471592049353,0,0,0,0,0,0.21052631578947367,1
29,21,0,0,2,0,0,2,0,0,0,0,0,0,13,3,3,1,0,0,0,0,1,4.1162646156680225,0,0,0,0,0,0.1724137931034483,0
22,14,0,0,2,0,0,2,0,0,0,0,0,0,6,3,3,1,0,0,0,0,1,3.7544418457133446,0,0,0,0,0,0.22727272727272727,0
60,23,30,0,4,0,0,6,0,0,0,0,0,1,6,4,11,1,4,0,0,0,0,4.21882038702278,0,0,0,0,0,0.18333333333333332,1
46,10,5,0,2,0,0,4,0,0,1,0,0,0,5,0,4,0,1,0,0,0,0,3.705111075801696,0,0,0,0,0,0.1956521739130435,1
40,33,0,0,2,1,0,2,0,0,0,0,0,8,13,15,3,1,0,0,0,0,0,4.262814895472355,0,0,0,0,0,0.15,1
69,16,45,0,2,2,0,5,0,0,0,0,2,2,6,5,3,1,3,0,0,0,1,4.573882204431347,0,0,0,0,0,0.17391304347826086,1
21,13,0,0,2,0,0,2,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,3.7849418274376423,0,0,0,0,0,0.23809523809523808,0
32,23,1,0,2,0,0,3,0,0,0,0,0,1,8,10,3,1,0,0,0,0,1,4.015319531114783,0,0,0,0,0,0.1875,1
29,20,1,0,2,1,0,3,0,0,0,0,0,0,3,12,3,1,0,0,0,0,1,3.9952378913808873,0,0,0,0,0,0.2413793103448276,1
34,26,0,0,2,0,0,2,0,0,0,0,0,0,11,10,3,1,0,0,0,0,1,4.043057694064253,0,0,0,0,0,0.14705882352941177,1
